  0.106996  0.000000 -0.001848
  0.105154 -0.002092 -0.001791
  0.099701 -0.004118 -0.001622
  0.090860 -0.006014 -0.001350
  0.078998 -0.007716 -0.000988
  0.064634 -0.009156 -0.000555
  0.048429 -0.010272 -0.000076
  0.031198 -0.010996  0.000419
  0.013898 -0.011265  0.000895
 -0.002364 -0.011014  0.001311
 -0.016333 -0.010176  0.001621
 -0.026606 -0.008688  0.001772
 -0.031635 -0.006484  0.001708
 -0.029722 -0.003499  0.001367
 -0.019022  0.000333  0.000679
  0.002457  0.005075 -0.000429
  0.036855  0.010794 -0.002035
  0.036855 -0.010794 -0.002035
  0.002457 -0.005075 -0.000429
 -0.019022 -0.000333  0.000679
 -0.029722  0.003499  0.001367
 -0.031635  0.006484  0.001708
 -0.026606  0.008688  0.001772
 -0.016333  0.010176  0.001621
 -0.002364  0.011014  0.001311
  0.013898  0.011265  0.000895
  0.031198  0.010996  0.000419
  0.048429  0.010272 -0.000076
  0.064634  0.009156 -0.000555
  0.078998  0.007716 -0.000988
  0.090860  0.006014 -0.001350
  0.099701  0.004118 -0.001622
  0.105154  0.002092 -0.001791
